Sigma Field,CarbonBlack.EndpointEvent (Value),CarbonBlack.EndpointEvent (Type),Crowdstrike.FDREvent (Value),Crowdstrike.FDREvent (Type),SentinelOne.DeepVisibility (Value),SentinelOne.DeepVisibility (Type)
CommandLine,$.target_cmdline,Path,$.event.CommandLine,Path,$.tgt_process_cmdline,Path
Company,,,,,$.tgt_process_publisher,Path
CurrentDirectory,,,,,$.tgt_process_image_path,Path
Description,,,,,$.tgt_process_displayName,Path
DestinationHostname,$.netconn_domain,Path,,,get_destination_hostname,Method
DestinationIp,$.remote_ip,Path,$.event.RemoteAddressIP4,Path,$.dst_ip_address,Path
DestinationPort,$.remote_port,Path,$.event.RemotePort,Path,$.dst_port_number,Path
Details,,,,,$.registry_value,Path
Image,$.process_path,Path,$.event.ImageFileName,Path,$.tgt_process_image_path,Path
ImageLoaded,,,,,$.module_path,Path
IntegrityLevel,,,$.event.IntegrityLevel,Path,$.tgt_process_integrityLevel,Path
ParentCommandLine,$.process_cmdline,Path,$.event.ParentCommandLine,Path,$.src_process_cmdline,Path
ParentImage,$.parent_path,Path,$.event.ParentBaseFileName,Path,$.src_process_image_path,Path
ParentProcessId,$.parent_pid,Path,$.event.ParentProcessId,Path,$.src_process_pid,Path
ParentProcessName,get_parent_process_name,Method,get_parent_process_name,Method,get_parent_process_name,Method
PipeName,,,,,$.namedPipe_name,Path
ProcessId,$.process_pid,Path,$.event.ContextProcessId,Path,$.tgt_process_pid,Path
ProcessName,get_process_name,Method,,,get_process_name,Method
Product,,,,,$.tgt_process_displayName,Path
Protocol,,,,,$.event_network_protocolName,Path
QueryName,$.dns_query,Path,get_dns_query,Method,$.event_dns_request,Path
QueryResults,,,$.event.IP4Records,Path,,
SourceFilename,,,,,$.tgt_file_oldPath,Path
SourceIp,$.local_ip,Path,$.aip,Path,$.src_ip_address,Path
SourcePort,$.local_port,Path,$.event.LocalPort,Path,$.src_port_number,Path
TargetFilename,$.filemod_name,Path,,,$.tgt_file_path,Path
TargetObject,,,,,$.registry_keyPath,Path
TerminalSessionId,,,,,$.tgt_process_sessionId,Path
User,$.process_username,Path,$.event.UserName,Path,$.tgt_process_user,Path
_event_category,get_event_category,Method,,,get_event_category,Method
_os,get_os,Method,,,get_os,Method
actor_user,$.process_username,Path,$.event.UserName,Path,$.tgt_process_user,Path
answer,,,,,$.event_dns_response,Path
cmd,$.target_cmdline,Path,$.event.CommandLine,Path,$.tgt_process_cmdline,Path
destination_ip,$.remote_ip,Path,$.event.RemoteAddressIP4,Path,$.dst_ip_address,Path
destination_port,$.remote_port,Path,$.event.RemotePort,Path,$.dst_port_number,Path
dns_query,,,get_dns_query,Method,$.event_dns_request,Path
dst_ip,$.remote_ip,Path,$.event.RemoteAddressIP4,Path,$.dst_ip_address,Path
dst_port,$.remote_port,Path,$.event.RemotePort,Path,$.dst_port_number,Path
md5,$.process_md5,Path,$.event.MD5HashData,Path,$.tgt_process_image_md5,Path
module_md5,,,,,$.module_md5,Path
module_sha1,,,,,$.module_sha1,Path
parent_process_name,get_parent_process_name,Method,,,get_parent_process_name,Method
process_name,get_process_name,Method,get_process_name,Method,get_process_name,Method
query,$.dns_query,Path,get_dns_query,Method,$.event_dns_request,Path
record_type,,,,,$.event_dns_response,Path
sha1,$.process_sha1,Path,$.event.SHA1HashData,Path,$.tgt_process_image_sha1,Path
sha256,$.process_sha256,Path,$.event.SHA256HashData,Path,$.tgt_process_image_sha256,Path
source_ip,,,$.aip,Path,$.src_ip_address,Path
source_port,,,$.event.LocalPort,Path,$.src_port_number,Path
src_ip,$.local_ip,Path,$.aip,Path,$.src_ip_address,Path
src_port,$.local_port,Path,$.event.LocalPort,Path,$.src_port_number,Path
src_process_cmdline,,,,,$.src_process_cmdline,Path
src_process_image_path,,,,,$.src_process_image_path,Path
src_process_parent_cmdline,,,,,$.src_process_parent_cmdline,Path
src_process_parent_image_path,,,,,$.src_process_parent_image_path,Path
src_process_user,,,,,$.src_process_user,Path
url_address,,,,,$.url_address,Path
